model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40.0000,Co_мг_кг,date1,cars_spa,11
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40.0000,Co_мг_кг,date1,vip,53
ElasticNet,-0.0585,-0.1627,0.0743,0.6005,0.4902,0.9700,1.4100,40.0000,Co_мг_кг,date1,hyper_idx,24
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,raw_smooth,300
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,deriv1_snv,300
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,pca_10,10
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,cars_spa,6
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,vip,82
ElasticNet,-0.0598,-0.2434,0.3339,0.3205,0.2535,0.9700,1.2800,24.0000,Co_мг_кг,date2,hyper_idx,24
SVR,-0.1132,-0.3102,0.4131,0.3285,0.2619,0.9500,1.2500,24.0000,Co_мг_кг,date2,deriv1_snv,300
SVR,-0.1827,-0.3966,0.4483,0.3385,0.2771,0.9200,1.2100,24.0000,Co_мг_кг,date2,raw_smooth,300
RF,-0.2372,-0.4346,0.2473,0.6493,0.5294,0.9000,1.3000,40.0000,Co_мг_кг,date1,cars_spa,11
SVR,-0.2407,-0.5035,0.4777,0.3467,0.2706,0.9000,1.1800,24.0000,Co_мг_кг,date2,hyper_idx,24
SVR,-0.2466,-0.4382,0.5501,0.6517,0.5124,0.9000,1.3000,40.0000,Co_мг_кг,date1,pca_10,10
SVR,-0.2482,-0.3800,0.5055,0.6521,0.5089,0.9000,1.3000,40.0000,Co_мг_кг,date1,vip,53
SVR,-0.2902,-0.4890,0.3796,0.3536,0.2829,0.8800,1.1600,24.0000,Co_мг_кг,date2,cars_spa,6
