model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
RF,-0.2090,-0.3894,0.4164,10.6142,8.1154,0.9100,1.0500,55.0000,Mn_мг_кг,date2,pca_10,10
RF,-0.2150,-2.0715,3.8370,26.2231,18.8063,0.9100,0.6100,60.0000,Mn_мг_кг,date1,deriv1_snv,300
RF,-0.2237,-0.4625,0.5908,10.6788,8.2498,0.9000,1.0400,55.0000,Mn_мг_кг,date2,deriv1_snv,300
ElasticNet,-0.2370,-0.4334,0.4460,10.7363,8.0049,0.9000,1.0400,55.0000,Mn_мг_кг,date2,deriv1_snv,300
RF,-0.2724,-1.1531,1.5049,26.8358,19.8789,0.8900,0.5900,60.0000,Mn_мг_кг,date1,cars_spa,25
GBR,-0.3071,-0.6887,0.9796,11.0366,8.6037,0.8700,1.0100,55.0000,Mn_мг_кг,date2,deriv1_snv,300
XGBoost,-0.3198,-0.5936,0.5850,11.0901,8.4475,0.8700,1.0100,55.0000,Mn_мг_кг,date2,pca_10,10
GBR,-0.3258,-0.6777,0.8375,11.1150,8.8437,0.8700,1.0000,55.0000,Mn_мг_кг,date2,vip,116
GBR,-0.3420,-0.5510,0.6642,11.1827,8.8195,0.8600,1.0000,55.0000,Mn_мг_кг,date2,pca_10,10
GBR,-0.3749,-1.0848,1.3240,27.8950,19.1912,0.8500,0.5700,60.0000,Mn_мг_кг,date1,vip,76
XGBoost,-0.4001,-1.0037,1.2170,28.1498,19.5281,0.8500,0.5700,60.0000,Mn_мг_кг,date1,vip,76
GBR,-0.4080,-1.9512,3.2383,28.2291,18.8897,0.8400,0.5700,60.0000,Mn_мг_кг,date1,pca_10,10
GBR,-0.4334,-4.2866,8.1067,28.4832,20.0876,0.8400,0.5600,60.0000,Mn_мг_кг,date1,deriv1_snv,300
XGBoost,-0.4451,-0.8264,0.7196,11.6044,8.7958,0.8300,0.9600,55.0000,Mn_мг_кг,date2,vip,116
GBR,-0.4765,-1.9386,2.8904,28.9077,19.5696,0.8200,0.5500,60.0000,Mn_мг_кг,date1,raw_smooth,300
XGBoost,-0.4868,-0.9713,1.0895,11.7708,9.3548,0.8200,0.9500,55.0000,Mn_мг_кг,date2,deriv1_snv,300
GBR,-0.5223,-1.3096,1.2220,29.3528,21.7654,0.8100,0.5400,60.0000,Mn_мг_кг,date1,cars_spa,25
XGBoost,-0.5462,-1.0139,1.3357,12.0035,9.2235,0.8000,0.9300,55.0000,Mn_мг_кг,date2,hyper_idx,24
XGBoost,-0.5467,-0.8255,0.7307,12.0054,9.5152,0.8000,0.9300,55.0000,Mn_мг_кг,date2,raw_smooth,300
XGBoost,-0.6172,-2.7852,4.5173,30.2538,20.8043,0.7900,0.5300,60.0000,Mn_мг_кг,date1,raw_smooth,300
RF,-0.6378,-4.2524,7.5456,30.4463,22.2324,0.7800,0.5200,60.0000,Mn_мг_кг,date1,hyper_idx,24
XGBoost,-0.6382,-3.2850,5.2057,30.4500,20.7521,0.7800,0.5200,60.0000,Mn_мг_кг,date1,deriv1_snv,300
XGBoost,-0.6435,-2.4599,3.6061,30.4987,20.4344,0.7800,0.5200,60.0000,Mn_мг_кг,date1,pca_10,10
XGBoost,-0.7480,-3.5688,5.8908,31.4531,22.4844,0.7600,0.5100,60.0000,Mn_мг_кг,date1,cars_spa,25
ElasticNet,-0.7490,-3.1295,4.4970,31.4626,21.2811,0.7600,0.5100,60.0000,Mn_мг_кг,date1,deriv1_snv,300
PLSR,-0.7576,-4.3327,6.9952,31.5398,22.7483,0.7500,0.5100,60.0000,Mn_мг_кг,date1,vip,76
GBR,-0.7913,-5.4220,9.6973,31.8405,24.1976,0.7500,0.5000,60.0000,Mn_мг_кг,date1,hyper_idx,24
XGBoost,-0.8484,-4.3286,7.4229,32.3440,22.0376,0.7400,0.4900,60.0000,Mn_мг_кг,date1,hyper_idx,24
PLSR,-1.0425,-4.4949,6.3781,33.9998,20.9788,0.7000,0.4700,60.0000,Mn_мг_кг,date1,pca_10,10
PLSR,-2.2740,-9.1364,13.2116,43.0468,31.1762,0.5500,0.3700,60.0000,Mn_мг_кг,date1,raw_smooth,300
PLSR,-4.6079,-13.0411,15.0449,56.3376,39.4843,0.4200,0.2800,60.0000,Mn_мг_кг,date1,deriv1_snv,300
PLSR,-8.9872,-12.8015,19.6425,30.5069,15.8932,0.3200,0.3700,55.0000,Mn_мг_кг,date2,deriv1_snv,300
PLSR,-17.5387,-27.1712,50.2191,41.5638,16.9386,0.2300,0.2700,55.0000,Mn_мг_кг,date2,hyper_idx,24
ElasticNet,-71.0937,-105.5869,208.2159,201.9979,43.2036,0.1200,0.0800,60.0000,Mn_мг_кг,date1,hyper_idx,24
PLSR,-197.3467,-137.8677,195.1283,135.9527,32.8378,0.0700,0.0800,55.0000,Mn_мг_кг,date2,raw_smooth,300
PLSR,-744.1454,-512.8780,741.3464,263.5093,67.4934,0.0400,0.0400,55.0000,Mn_мг_кг,date2,vip,116
PLSR,-889.2561,-560.6839,936.9685,288.0269,59.8656,0.0300,0.0400,55.0000,Mn_мг_кг,date2,pca_10,10
PLSR,-2625.4384,-3866.1750,7717.6163,1219.2195,182.5945,0.0200,0.0100,60.0000,Mn_мг_кг,date1,hyper_idx,24
SVR,0.0477,-0.0122,0.1470,0.4769,0.3829,1.0200,1.2500,60.0000,N_%,date1,deriv1_snv,300
RF,-0.0161,-0.0885,0.1636,0.4926,0.4135,0.9900,1.2100,60.0000,N_%,date1,pca_10,10
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,raw_smooth,300
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,deriv1_snv,300
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,pca_10,10
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,vip,54
ElasticNet,-0.0205,-0.0787,0.1206,0.4936,0.3802,0.9900,1.2100,60.0000,N_%,date1,hyper_idx,24
RF,-0.0290,-0.0676,0.1282,0.4957,0.3963,0.9900,1.2000,60.0000,N_%,date1,deriv1_snv,300
SVR,-0.0599,-0.1446,0.2613,0.5031,0.4045,0.9700,1.1800,60.0000,N_%,date1,vip,54
SVR,-0.0641,-0.1278,0.2038,0.5041,0.4076,0.9700,1.1800,60.0000,N_%,date1,pca_10,10
ElasticNet,-0.0809,-0.3537,0.5487,0.6149,0.4631,0.9600,0.9100,55.0000,N_%,date2,raw_smooth,300
ElasticNet,-0.0809,-0.3537,0.5487,0.6149,0.4631,0.9600,0.9100,55.0000,N_%,date2,deriv1_snv,300
ElasticNet,-0.0809,-0.3537,0.5487,0.6149,0.4631,0.9600,0.9100,55.0000,N_%,date2,pca_10,10
ElasticNet,-0.0809,-0.3537,0.5487,0.6149,0.4631,0.9600,0.9100,55.0000,N_%,date2,vip,112
ElasticNet,-0.0809,-0.3537,0.5487,0.6149,0.4631,0.9600,0.9100,55.0000,N_%,date2,hyper_idx,24
RF,-0.0812,-0.1190,0.2825,0.5081,0.4137,0.9600,1.1700,60.0000,N_%,date1,hyper_idx,24
RF,-0.0902,-0.1890,0.3309,0.5102,0.4056,0.9600,1.1700,60.0000,N_%,date1,vip,54
RF,-0.1037,-0.1991,0.3050,0.5134,0.4139,0.9500,1.1600,60.0000,N_%,date1,raw_smooth,300
GBR,-0.1059,-0.1552,0.2658,0.5139,0.4081,0.9500,1.1600,60.0000,N_%,date1,hyper_idx,24
SVR,-0.1198,-0.4744,0.4830,0.6259,0.4622,0.9500,0.8900,55.0000,N_%,date2,hyper_idx,24
SVR,-0.1588,-0.4506,0.4960,0.6367,0.4798,0.9300,0.8800,55.0000,N_%,date2,vip,112
SVR,-0.1619,-0.4634,0.5187,0.6375,0.4818,0.9300,0.8800,55.0000,N_%,date2,raw_smooth,300
RF,-0.1627,-0.3700,0.5973,0.6378,0.4883,0.9300,0.8800,55.0000,N_%,date2,deriv1_snv,300
SVR,-0.1725,-0.2325,0.2660,0.5291,0.4304,0.9200,1.1200,60.0000,N_%,date1,hyper_idx,24
SVR,-0.1781,-0.2238,0.2074,0.5304,0.4190,0.9200,1.1200,60.0000,N_%,date1,raw_smooth,300
RF,-0.1958,-0.4967,0.7176,0.6468,0.5033,0.9100,0.8700,55.0000,N_%,date2,hyper_idx,24
GBR,-0.2257,-0.2712,0.2258,0.5410,0.4306,0.9000,1.1000,60.0000,N_%,date1,deriv1_snv,300
RF,-0.2471,-0.6108,0.5204,0.6605,0.5286,0.9000,0.8500,55.0000,N_%,date2,pca_10,10
SVR,-0.2475,-0.5834,0.5149,0.6606,0.5052,0.9000,0.8500,55.0000,N_%,date2,deriv1_snv,300
GBR,-0.2688,-0.4275,0.4694,0.5504,0.4285,0.8900,1.0800,60.0000,N_%,date1,raw_smooth,300
SVR,-0.3336,-0.6985,0.6921,0.6830,0.5353,0.8700,0.8200,55.0000,N_%,date2,pca_10,10
GBR,-0.3451,-0.5099,0.5232,0.5667,0.4388,0.8600,1.0500,60.0000,N_%,date1,vip,54
XGBoost,-0.3491,-0.4439,0.3659,0.5676,0.4635,0.8600,1.0500,60.0000,N_%,date1,hyper_idx,24
XGBoost,-0.3569,-0.5263,0.7221,0.5692,0.4443,0.8600,1.0500,60.0000,N_%,date1,pca_10,10
XGBoost,-0.3586,-0.4650,0.2353,0.5696,0.4602,0.8600,1.0400,60.0000,N_%,date1,deriv1_snv,300
GBR,-0.3635,-0.4519,0.2454,0.5706,0.4746,0.8600,1.0400,60.0000,N_%,date1,pca_10,10
RF,-0.3655,-0.8336,0.7705,0.6912,0.5265,0.8600,0.8100,55.0000,N_%,date2,raw_smooth,300
GBR,-0.3680,-0.8395,0.8025,0.6918,0.5374,0.8500,0.8100,55.0000,N_%,date2,raw_smooth,300
GBR,-0.4077,-0.9157,0.6683,0.7018,0.5864,0.8400,0.8000,55.0000,N_%,date2,pca_10,10
XGBoost,-0.4670,-0.6325,0.6194,0.5919,0.4552,0.8300,1.0100,60.0000,N_%,date1,raw_smooth,300
XGBoost,-0.5018,-0.9613,0.5263,0.7248,0.6019,0.8200,0.7700,55.0000,N_%,date2,pca_10,10
RF,-0.5097,-0.9824,0.6721,0.7267,0.5616,0.8100,0.7700,55.0000,N_%,date2,vip,112
GBR,-0.5120,-0.6799,0.5734,0.7273,0.5495,0.8100,0.7700,55.0000,N_%,date2,deriv1_snv,300
GBR,-0.5927,-1.1149,1.1086,0.7464,0.5852,0.7900,0.7500,55.0000,N_%,date2,hyper_idx,24
XGBoost,-0.5987,-1.2705,1.1225,0.7479,0.5808,0.7900,0.7500,55.0000,N_%,date2,vip,112
XGBoost,-0.6042,-1.0210,0.7896,0.7491,0.5992,0.7900,0.7500,55.0000,N_%,date2,hyper_idx,24
XGBoost,-0.6281,-0.7730,0.5478,0.6235,0.4598,0.7800,0.9500,60.0000,N_%,date1,vip,54
XGBoost,-0.6709,-0.8967,0.9340,0.7645,0.5769,0.7700,0.7300,55.0000,N_%,date2,deriv1_snv,300
GBR,-0.7206,-1.3419,0.7774,0.7758,0.5976,0.7600,0.7200,55.0000,N_%,date2,vip,112
PLSR,-0.8042,-0.9493,0.7126,0.6564,0.5291,0.7400,0.9100,60.0000,N_%,date1,vip,54
XGBoost,-0.8332,-1.2919,0.7087,0.8008,0.6287,0.7400,0.7000,55.0000,N_%,date2,raw_smooth,300
PLSR,-1.2813,-1.7064,2.8666,0.7381,0.4759,0.6600,0.8100,60.0000,N_%,date1,pca_10,10
PLSR,-2.0890,-4.7629,8.2956,1.0395,0.6796,0.5700,0.5400,55.0000,N_%,date2,hyper_idx,24
PLSR,-2.9176,-3.4913,3.5556,0.9672,0.7006,0.5100,0.6200,60.0000,N_%,date1,raw_smooth,300
PLSR,-4.7465,-6.0431,8.0411,1.1714,0.7638,0.4200,0.5100,60.0000,N_%,date1,deriv1_snv,300
PLSR,-17.2825,-38.8252,75.3159,2.5290,1.0077,0.2300,0.2200,55.0000,N_%,date2,deriv1_snv,300
PLSR,-150.1726,-338.8696,657.8011,7.2722,2.0423,0.0800,0.0800,55.0000,N_%,date2,vip,112
PLSR,-178.6347,-403.1829,787.4906,7.9273,2.2885,0.0700,0.0700,55.0000,N_%,date2,raw_smooth,300
PLSR,-1356.3402,-1820.4170,3640.2532,18.0031,2.7294,0.0300,0.0300,60.0000,N_%,date1,hyper_idx,24
PLSR,-2749.5916,-6240.5797,12479.8057,31.0202,5.7291,0.0200,0.0200,55.0000,N_%,date2,pca_10,10
1D-CNN-Attn,,,,,,,,,N_%,date2,raw_300,300
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60.0000,P_%,date1,raw_smooth,300
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60.0000,P_%,date1,deriv1_snv,300
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60.0000,P_%,date1,pca_10,10
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60.0000,P_%,date1,cars_spa,11
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60.0000,P_%,date1,vip,68
ElasticNet,-0.0652,-0.2376,0.1527,0.0738,0.0588,0.9700,1.1900,60.0000,P_%,date1,hyper_idx,24
ElasticNet,-0.0684,-0.2051,0.1535,0.0587,0.0471,0.9700,1.2800,55.0000,P_%,date2,raw_smooth,300
ElasticNet,-0.0684,-0.2051,0.1535,0.0587,0.0471,0.9700,1.2800,55.0000,P_%,date2,deriv1_snv,300
ElasticNet,-0.0684,-0.2051,0.1535,0.0587,0.0471,0.9700,1.2800,55.0000,P_%,date2,pca_10,10
ElasticNet,-0.0684,-0.2051,0.1535,0.0587,0.0471,0.9700,1.2800,55.0000,P_%,date2,vip,110
ElasticNet,-0.0684,-0.2051,0.1535,0.0587,0.0471,0.9700,1.2800,55.0000,P_%,date2,hyper_idx,24
SVR,-0.0811,-0.2989,0.3568,0.0743,0.0598,0.9600,1.1800,60.0000,P_%,date1,pca_10,10
SVR,-0.1114,-0.3092,0.2704,0.0753,0.0602,0.9500,1.1600,60.0000,P_%,date1,hyper_idx,24
RF,-0.1259,-0.2357,0.4923,0.0603,0.0456,0.9400,1.2400,55.0000,P_%,date2,vip,110
RF,-0.1424,-0.2729,0.3788,0.0607,0.0487,0.9400,1.2400,55.0000,P_%,date2,deriv1_snv,300
SVR,-0.1479,-0.2750,0.2708,0.0608,0.0477,0.9300,1.2300,55.0000,P_%,date2,vip,110
SVR,-0.1522,-0.3484,0.2365,0.0767,0.0607,0.9300,1.1400,60.0000,P_%,date1,deriv1_snv,300
SVR,-0.1542,-0.2939,0.1901,0.0610,0.0475,0.9300,1.2300,55.0000,P_%,date2,deriv1_snv,300
GBR,-0.1557,-0.3995,0.4131,0.0768,0.0599,0.9300,1.1400,60.0000,P_%,date1,deriv1_snv,300
RF,-0.1608,-0.2846,0.4349,0.0612,0.0493,0.9300,1.2300,55.0000,P_%,date2,raw_smooth,300
RF,-0.1653,-0.3041,0.3954,0.0613,0.0484,0.9300,1.2200,55.0000,P_%,date2,pca_10,10
SVR,-0.1665,-0.3072,0.2204,0.0613,0.0486,0.9300,1.2200,55.0000,P_%,date2,pca_10,10
GBR,-0.1696,-0.2718,0.6273,0.0614,0.0458,0.9200,1.2200,55.0000,P_%,date2,vip,110
SVR,-0.1851,-0.3080,0.3433,0.0618,0.0485,0.9200,1.2100,55.0000,P_%,date2,raw_smooth,300
SVR,-0.1988,-0.3475,0.1648,0.0622,0.0490,0.9100,1.2100,55.0000,P_%,date2,hyper_idx,24
RF,-0.2006,-0.4014,0.1998,0.0783,0.0633,0.9100,1.1200,60.0000,P_%,date1,pca_10,10
GBR,-0.2156,-0.3555,0.4974,0.0626,0.0497,0.9100,1.2000,55.0000,P_%,date2,deriv1_snv,300
RF,-0.2339,-0.4865,0.3822,0.0794,0.0652,0.9000,1.1000,60.0000,P_%,date1,vip,68
RF,-0.2388,-0.4817,0.4222,0.0795,0.0634,0.9000,1.1000,60.0000,P_%,date1,hyper_idx,24
RF,-0.2439,-0.4879,0.3475,0.0797,0.0650,0.9000,1.1000,60.0000,P_%,date1,raw_smooth,300
RF,-0.2540,-0.4148,0.3270,0.0636,0.0508,0.8900,1.1800,55.0000,P_%,date2,hyper_idx,24
XGBoost,-0.2761,-0.3897,0.5340,0.0642,0.0488,0.8900,1.1700,55.0000,P_%,date2,vip,110
XGBoost,-0.2922,-0.4489,0.5241,0.0646,0.0514,0.8800,1.1600,55.0000,P_%,date2,deriv1_snv,300
GBR,-0.3067,-0.4250,0.5589,0.0649,0.0499,0.8700,1.1600,55.0000,P_%,date2,raw_smooth,300
RF,-0.3077,-0.5688,0.3914,0.0817,0.0645,0.8700,1.0700,60.0000,P_%,date1,deriv1_snv,300
SVR,-0.3275,-0.5605,0.2831,0.0823,0.0647,0.8700,1.0600,60.0000,P_%,date1,vip,68
GBR,-0.3303,-0.4902,0.5392,0.0655,0.0531,0.8700,1.1400,55.0000,P_%,date2,pca_10,10
GBR,-0.3657,-0.6411,0.4096,0.0835,0.0697,0.8600,1.0500,60.0000,P_%,date1,vip,68
XGBoost,-0.3837,-0.5605,0.6422,0.0668,0.0524,0.8500,1.1200,55.0000,P_%,date2,pca_10,10
XGBoost,-0.3950,-0.5863,0.1645,0.0671,0.0549,0.8500,1.1200,55.0000,P_%,date2,raw_smooth,300
XGBoost,-0.3992,-0.7175,0.6823,0.0845,0.0692,0.8500,1.0400,60.0000,P_%,date1,hyper_idx,24
PLSR,-0.4002,-0.5145,0.9022,0.0846,0.0618,0.8500,1.0300,60.0000,P_%,date1,cars_spa,11
GBR,-0.4027,-0.6665,0.5317,0.0846,0.0698,0.8400,1.0300,60.0000,P_%,date1,hyper_idx,24
SVR,-0.4038,-0.6668,0.4549,0.0847,0.0684,0.8400,1.0300,60.0000,P_%,date1,raw_smooth,300
RF,-0.4319,-0.6409,0.2274,0.0855,0.0693,0.8400,1.0200,60.0000,P_%,date1,cars_spa,11
GBR,-0.4460,-0.6133,0.2252,0.0859,0.0666,0.8300,1.0200,60.0000,P_%,date1,pca_10,10
XGBoost,-0.4606,-0.7122,0.5871,0.0864,0.0648,0.8300,1.0100,60.0000,P_%,date1,deriv1_snv,300
SVR,-0.4749,-0.7325,0.4529,0.0868,0.0695,0.8200,1.0100,60.0000,P_%,date1,cars_spa,11
XGBoost,-0.4799,-0.6481,0.2563,0.0869,0.0698,0.8200,1.0100,60.0000,P_%,date1,pca_10,10
GBR,-0.4806,-0.7856,0.4675,0.0870,0.0708,0.8200,1.0100,60.0000,P_%,date1,raw_smooth,300
GBR,-0.4994,-0.6748,0.4232,0.0695,0.0561,0.8200,1.0800,55.0000,P_%,date2,hyper_idx,24
XGBoost,-0.5296,-0.8924,0.7712,0.0884,0.0701,0.8100,0.9900,60.0000,P_%,date1,vip,68
GBR,-0.6351,-0.8936,0.2977,0.0914,0.0755,0.7800,0.9600,60.0000,P_%,date1,cars_spa,11
XGBoost,-0.7116,-1.0228,0.7069,0.0935,0.0742,0.7600,0.9400,60.0000,P_%,date1,raw_smooth,300
XGBoost,-0.7253,-0.9196,0.6784,0.0746,0.0589,0.7600,1.0100,55.0000,P_%,date2,hyper_idx,24
PLSR,-0.7926,-1.1113,0.3062,0.0957,0.0775,0.7500,0.9100,60.0000,P_%,date1,pca_10,10
XGBoost,-0.9907,-1.3595,0.4559,0.1008,0.0850,0.7100,0.8700,60.0000,P_%,date1,cars_spa,11
PLSR,-1.0081,-1.4864,0.9880,0.1013,0.0811,0.7100,0.8600,60.0000,P_%,date1,vip,68
PLSR,-2.8550,-3.2385,3.1716,0.1403,0.0965,0.5100,0.6200,60.0000,P_%,date1,deriv1_snv,300
PLSR,-5.2218,-5.5546,6.6452,0.1783,0.1064,0.4000,0.4900,60.0000,P_%,date1,raw_smooth,300
PLSR,-11.1919,-14.2648,25.0139,0.1983,0.0974,0.2900,0.3800,55.0000,P_%,date2,hyper_idx,24
PLSR,-40.6009,-46.2800,62.9666,0.3663,0.1362,0.1600,0.2000,55.0000,P_%,date2,deriv1_snv,300
PLSR,-40.6735,-48.1453,57.3055,0.3666,0.1411,0.1500,0.2000,55.0000,P_%,date2,vip,110
PLSR,-220.5449,-250.9550,351.2794,0.8454,0.2500,0.0700,0.0900,55.0000,P_%,date2,raw_smooth,300
PLSR,-680.4781,-658.1187,1313.4125,1.8657,0.3120,0.0400,0.0500,60.0000,P_%,date1,hyper_idx,24
PLSR,-3590.0468,-3913.6627,7797.8843,3.4034,0.6245,0.0200,0.0200,55.0000,P_%,date2,pca_10,10
1D-CNN-Attn,,,,,,,,,P_%,date2,raw_300,300
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60.0000,S_%,date1,raw_smooth,300
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60.0000,S_%,date1,deriv1_snv,300
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60.0000,S_%,date1,pca_10,10
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60.0000,S_%,date1,cars_spa,8
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60.0000,S_%,date1,vip,55
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60.0000,S_%,date1,hyper_idx,24
PLSR,-0.0194,-0.2181,0.5564,0.0541,0.0415,0.9900,1.4800,60.0000,S_%,date1,cars_spa,8
SVR,-0.0422,-0.1248,0.1202,0.0547,0.0438,0.9800,1.4600,60.0000,S_%,date1,raw_smooth,300
SVR,-0.0452,-0.1193,0.1500,0.0547,0.0436,0.9800,1.4600,60.0000,S_%,date1,pca_10,10
ElasticNet,-0.0609,-0.2067,0.2429,0.0448,0.0348,0.9700,1.3400,55.0000,S_%,date2,raw_smooth,300
ElasticNet,-0.0609,-0.2067,0.2429,0.0448,0.0348,0.9700,1.3400,55.0000,S_%,date2,deriv1_snv,300
ElasticNet,-0.0609,-0.2067,0.2429,0.0448,0.0348,0.9700,1.3400,55.0000,S_%,date2,pca_10,10
ElasticNet,-0.0609,-0.2067,0.2429,0.0448,0.0348,0.9700,1.3400,55.0000,S_%,date2,vip,113
ElasticNet,-0.0609,-0.2067,0.2429,0.0448,0.0348,0.9700,1.3400,55.0000,S_%,date2,hyper_idx,24
SVR,-0.0681,-0.1538,0.0974,0.0553,0.0443,0.9700,1.4500,60.0000,S_%,date1,hyper_idx,24
SVR,-0.0686,-0.1475,0.1150,0.0553,0.0438,0.9700,1.4500,60.0000,S_%,date1,vip,55
SVR,-0.0895,-0.1806,0.1108,0.0559,0.0446,0.9600,1.4300,60.0000,S_%,date1,cars_spa,8
RF,-0.1093,-0.2330,0.1976,0.0564,0.0452,0.9500,1.4200,60.0000,S_%,date1,hyper_idx,24
RF,-0.1205,-0.3449,0.3000,0.0460,0.0362,0.9400,1.3000,55.0000,S_%,date2,deriv1_snv,300
SVR,-0.1237,-0.2112,0.1414,0.0567,0.0456,0.9400,1.4100,60.0000,S_%,date1,deriv1_snv,300
RF,-0.1249,-0.3132,0.3456,0.0461,0.0370,0.9400,1.3000,55.0000,S_%,date2,hyper_idx,24
GBR,-0.1472,-0.3462,0.3279,0.0573,0.0484,0.9300,1.4000,60.0000,S_%,date1,hyper_idx,24
RF,-0.1840,-0.3746,0.3048,0.0583,0.0475,0.9200,1.3700,60.0000,S_%,date1,vip,55
RF,-0.1931,-0.3922,0.3352,0.0585,0.0484,0.9200,1.3700,60.0000,S_%,date1,raw_smooth,300
RF,-0.2014,-0.3557,0.2596,0.0587,0.0479,0.9100,1.3600,60.0000,S_%,date1,deriv1_snv,300
RF,-0.2446,-0.5357,0.3340,0.0485,0.0391,0.9000,1.2400,55.0000,S_%,date2,pca_10,10
XGBoost,-0.2487,-0.4613,0.6490,0.0486,0.0371,0.8900,1.2400,55.0000,S_%,date2,raw_smooth,300
XGBoost,-0.2636,-0.3994,0.3862,0.0489,0.0376,0.8900,1.2300,55.0000,S_%,date2,hyper_idx,24
RF,-0.2850,-0.4981,0.4147,0.0607,0.0483,0.8800,1.3200,60.0000,S_%,date1,pca_10,10
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,raw_smooth,300
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,deriv1_snv,300
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,pca_10,10
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,vip,113
SVR,-0.3003,-0.6391,0.5954,0.0496,0.0397,0.8800,1.2100,55.0000,S_%,date2,hyper_idx,24
RF,-0.3215,-0.6116,0.3994,0.0500,0.0384,0.8700,1.2000,55.0000,S_%,date2,raw_smooth,300
XGBoost,-0.3337,-0.5298,0.3613,0.0618,0.0513,0.8700,1.2900,60.0000,S_%,date1,hyper_idx,24
GBR,-0.3345,-0.6553,0.3953,0.0502,0.0432,0.8700,1.2000,55.0000,S_%,date2,hyper_idx,24
GBR,-0.3763,-0.7194,0.4541,0.0510,0.0418,0.8500,1.1800,55.0000,S_%,date2,deriv1_snv,300
GBR,-0.3873,-0.7413,0.6102,0.0631,0.0515,0.8500,1.2700,60.0000,S_%,date1,vip,55
XGBoost,-0.3905,-0.8429,0.6561,0.0512,0.0427,0.8500,1.1700,55.0000,S_%,date2,pca_10,10
GBR,-0.3997,-0.7241,0.7674,0.0514,0.0376,0.8500,1.1700,55.0000,S_%,date2,raw_smooth,300
GBR,-0.4215,-0.6152,0.3451,0.0638,0.0498,0.8400,1.2500,60.0000,S_%,date1,deriv1_snv,300
XGBoost,-0.4351,-0.7984,0.5301,0.0521,0.0427,0.8300,1.1500,55.0000,S_%,date2,deriv1_snv,300
GBR,-0.4422,-0.8401,0.6819,0.0643,0.0544,0.8300,1.2400,60.0000,S_%,date1,raw_smooth,300
GBR,-0.4621,-0.9842,0.7012,0.0526,0.0431,0.8300,1.1400,55.0000,S_%,date2,pca_10,10
RF,-0.5229,-0.8265,0.4505,0.0536,0.0418,0.8100,1.1200,55.0000,S_%,date2,vip,113
XGBoost,-0.5713,-0.7573,0.5273,0.0671,0.0543,0.8000,1.1900,60.0000,S_%,date1,pca_10,10
PLSR,-0.5783,-0.8883,0.8453,0.0673,0.0543,0.8000,1.1900,60.0000,S_%,date1,pca_10,10
RF,-0.6091,-0.8754,0.7015,0.0679,0.0551,0.7900,1.1800,60.0000,S_%,date1,cars_spa,8
XGBoost,-0.6534,-1.1413,0.8569,0.0688,0.0564,0.7800,1.1600,60.0000,S_%,date1,vip,55
GBR,-0.6764,-1.0178,0.8343,0.0693,0.0544,0.7700,1.1500,60.0000,S_%,date1,pca_10,10
XGBoost,-0.6809,-1.0492,0.7425,0.0694,0.0553,0.7700,1.1500,60.0000,S_%,date1,cars_spa,8
XGBoost,-0.7022,-1.2400,1.2089,0.0698,0.0545,0.7700,1.1500,60.0000,S_%,date1,deriv1_snv,300
XGBoost,-0.7695,-1.1003,0.4807,0.0578,0.0451,0.7500,1.0400,55.0000,S_%,date2,vip,113
GBR,-0.8058,-1.1724,0.4216,0.0584,0.0444,0.7400,1.0300,55.0000,S_%,date2,vip,113
XGBoost,-0.8390,-1.4025,0.9911,0.0726,0.0598,0.7400,1.1000,60.0000,S_%,date1,raw_smooth,300
