model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features,augmented
ElasticNet,0.0355,0.0215,0.0720,22.8387,17.0709,1.0200,0.9200,100.0000,Mn_мг_кг,date1,poly,20,none
SVR,-0.1416,-0.1305,0.0807,24.8474,15.0555,0.9400,0.8400,100.0000,Mn_мг_кг,date1,poly,20,none
RF,-0.1592,-0.2437,0.3080,25.0386,18.7059,0.9300,0.8300,100.0000,Mn_мг_кг,date1,poly,20,none
PLSR,-0.2957,-0.2581,0.2832,26.4710,19.3233,0.8800,0.7900,100.0000,Mn_мг_кг,date1,poly,20,none
XGBoost,-0.4227,-0.6197,0.7395,27.7387,19.7513,0.8400,0.7500,100.0000,Mn_мг_кг,date1,poly,20,none
GBR,-0.5490,-0.7412,0.7163,28.9435,20.6129,0.8000,0.7200,100.0000,Mn_мг_кг,date1,poly,20,none
ElasticNet,0.0011,-0.0022,0.0765,23.2426,16.9634,1.0000,0.9000,100.0000,Mn_мг_кг,date1,combined,74,none
RF,-0.0659,-0.1219,0.2799,24.0095,17.6357,0.9700,0.8700,100.0000,Mn_мг_кг,date1,combined,74,none
SVR,-0.1187,-0.1118,0.0627,24.5964,14.9552,0.9500,0.8500,100.0000,Mn_мг_кг,date1,combined,74,none
GBR,-0.1562,-0.2614,0.4385,25.0061,17.5744,0.9300,0.8400,100.0000,Mn_мг_кг,date1,combined,74,none
XGBoost,-0.1998,-0.3728,0.6994,25.4723,17.4608,0.9100,0.8200,100.0000,Mn_мг_кг,date1,combined,74,none
PLSR,-3.5232,-2.8030,5.4921,49.4591,22.3870,0.4700,0.4200,100.0000,Mn_мг_кг,date1,combined,74,none
RF,0.3785,0.3348,0.1914,18.5364,12.2189,1.2700,1.1400,200.0000,Mn_мг_кг,date1,combined,74,mixup
XGBoost,0.3412,0.2976,0.2932,19.0848,11.2398,1.2300,1.1100,200.0000,Mn_мг_кг,date1,combined,74,mixup
GBR,0.3155,0.2732,0.2275,19.4535,11.7396,1.2100,1.0900,200.0000,Mn_мг_кг,date1,combined,74,mixup
ElasticNet,0.0842,0.0636,0.0980,22.5008,16.3720,1.0400,0.9400,200.0000,Mn_мг_кг,date1,combined,74,mixup
SVR,-0.0756,-0.0915,0.0457,24.3853,14.4203,0.9600,0.8700,200.0000,Mn_мг_кг,date1,combined,74,mixup
GBR,0.6626,0.6641,0.1180,13.9469,7.8503,1.7200,1.5100,200.0000,Mn_мг_кг,date1,combined,74,noise
XGBoost,0.6481,0.6772,0.1306,14.2421,6.9251,1.6900,1.4800,200.0000,Mn_мг_кг,date1,combined,74,noise
RF,0.6154,0.6236,0.1220,14.8903,9.4847,1.6100,1.4200,200.0000,Mn_мг_кг,date1,combined,74,noise
ElasticNet,0.1078,0.0829,0.0877,22.6790,16.2366,1.0600,0.9300,200.0000,Mn_мг_кг,date1,combined,74,noise
SVR,-0.0598,-0.0654,0.1011,24.7180,14.3611,0.9700,0.8500,200.0000,Mn_мг_кг,date1,combined,74,noise
ElasticNet,0.0223,0.0145,0.0711,22.9941,16.6824,1.0100,0.9100,100.0000,Mn_мг_кг,date1,rf_selected,20,none
SVR,-0.1012,-0.0924,0.0803,24.4039,14.8018,0.9500,0.8600,100.0000,Mn_мг_кг,date1,rf_selected,20,none
RF,-0.1095,-0.1564,0.1782,24.4957,17.9329,0.9500,0.8500,100.0000,Mn_мг_кг,date1,rf_selected,20,none
PLSR,-0.1809,-0.1619,0.3177,25.2711,18.2813,0.9200,0.8300,100.0000,Mn_мг_кг,date1,rf_selected,20,none
GBR,-0.3199,-0.4491,0.4637,26.7169,19.1241,0.8700,0.7800,100.0000,Mn_мг_кг,date1,rf_selected,20,none
XGBoost,-0.4124,-0.5476,0.4875,27.6378,18.2640,0.8400,0.7600,100.0000,Mn_мг_кг,date1,rf_selected,20,none
RF,0.1818,0.1675,0.2038,21.2677,13.5718,1.1100,0.9900,200.0000,Mn_мг_кг,date1,rf_selected,20,mixup
ElasticNet,0.0724,0.0484,0.0962,22.6454,16.4409,1.0400,0.9300,200.0000,Mn_мг_кг,date1,rf_selected,20,mixup
XGBoost,0.0305,0.0228,0.3525,23.1513,13.0131,1.0200,0.9100,200.0000,Mn_мг_кг,date1,rf_selected,20,mixup
GBR,0.0003,-0.0316,0.3181,23.5086,14.1112,1.0000,0.9000,200.0000,Mn_мг_кг,date1,rf_selected,20,mixup
SVR,-0.0554,-0.0737,0.0502,24.1548,14.1518,0.9700,0.8700,200.0000,Mn_мг_кг,date1,rf_selected,20,mixup
Stacking,0.0239,,,22.9761,,1.0100,,,Mn_мг_кг,date1,combined,74,none
ElasticNet,-0.0178,-0.0561,0.0489,2.5901,1.8793,0.9900,0.6500,97.0000,Cu_мг_кг,date1,bands,5,none
PLSR,-0.0693,-0.1313,0.1175,2.6548,1.9219,0.9700,0.6300,97.0000,Cu_мг_кг,date1,bands,5,none
SVR,-0.0893,-0.1037,0.0967,2.6795,1.6090,0.9600,0.6300,97.0000,Cu_мг_кг,date1,bands,5,none
RF,-0.1445,-0.3223,0.5877,2.7466,1.9183,0.9300,0.6100,97.0000,Cu_мг_кг,date1,bands,5,none
GBR,-0.2781,-0.4904,0.7623,2.9024,2.0521,0.8800,0.5800,97.0000,Cu_мг_кг,date1,bands,5,none
XGBoost,-0.3234,-0.5639,0.7937,2.9534,1.9378,0.8700,0.5700,97.0000,Cu_мг_кг,date1,bands,5,none
ElasticNet,-0.0160,-0.0535,0.0403,2.5877,1.8713,0.9900,0.6500,97.0000,Cu_мг_кг,date1,indices,44,none
RF,-0.0835,-0.2388,0.4956,2.6723,1.9437,0.9600,0.6300,97.0000,Cu_мг_кг,date1,indices,44,none
SVR,-0.1148,-0.1302,0.0787,2.7107,1.6469,0.9500,0.6200,97.0000,Cu_мг_кг,date1,indices,44,none
GBR,-0.2106,-0.3917,0.5878,2.8247,2.0285,0.9100,0.5900,97.0000,Cu_мг_кг,date1,indices,44,none
PLSR,-0.2389,-0.3402,0.3329,2.8576,2.1720,0.9000,0.5900,97.0000,Cu_мг_кг,date1,indices,44,none
XGBoost,-0.3232,-0.6043,1.1175,2.9532,2.0867,0.8700,0.5700,97.0000,Cu_мг_кг,date1,indices,44,none
XGBoost,0.3814,0.3687,0.1536,1.9367,1.1731,1.2700,0.9000,194.0000,Cu_мг_кг,date1,indices,44,mixup
RF,0.3766,0.3731,0.0917,1.9442,1.3326,1.2700,0.9000,194.0000,Cu_мг_кг,date1,indices,44,mixup
GBR,0.3604,0.3498,0.1509,1.9695,1.2978,1.2500,0.8900,194.0000,Cu_мг_кг,date1,indices,44,mixup
ElasticNet,0.0180,0.0072,0.0211,2.4403,1.7383,1.0100,0.7200,194.0000,Cu_мг_кг,date1,indices,44,mixup
SVR,-0.0175,-0.0106,0.1343,2.4840,1.4817,0.9900,0.7000,194.0000,Cu_мг_кг,date1,indices,44,mixup
ElasticNet,-0.0160,-0.0535,0.0403,2.5877,1.8713,0.9900,0.6500,97.0000,Cu_мг_кг,date1,bands_idx,49,none
SVR,-0.1139,-0.1292,0.0796,2.7095,1.6484,0.9500,0.6200,97.0000,Cu_мг_кг,date1,bands_idx,49,none
RF,-0.1408,-0.2981,0.5150,2.7421,1.9815,0.9400,0.6100,97.0000,Cu_мг_кг,date1,bands_idx,49,none
PLSR,-0.2214,-0.3231,0.3348,2.8373,2.1549,0.9000,0.5900,97.0000,Cu_мг_кг,date1,bands_idx,49,none
GBR,-0.2994,-0.5212,0.7522,2.9265,2.1167,0.8800,0.5700,97.0000,Cu_мг_кг,date1,bands_idx,49,none
XGBoost,-0.4098,-0.6918,1.1559,3.0483,2.1753,0.8400,0.5500,97.0000,Cu_мг_кг,date1,bands_idx,49,none
GBR,0.3612,0.3593,0.1368,1.9682,1.2712,1.2500,0.8900,194.0000,Cu_мг_кг,date1,bands_idx,49,mixup
RF,0.3572,0.3535,0.0978,1.9744,1.3368,1.2500,0.8900,194.0000,Cu_мг_кг,date1,bands_idx,49,mixup
XGBoost,0.3382,0.3218,0.1902,2.0033,1.2324,1.2300,0.8700,194.0000,Cu_мг_кг,date1,bands_idx,49,mixup
ElasticNet,0.0178,0.0069,0.0216,2.4405,1.7387,1.0100,0.7200,194.0000,Cu_мг_кг,date1,bands_idx,49,mixup
SVR,-0.0195,-0.0126,0.1375,2.4864,1.4692,0.9900,0.7000,194.0000,Cu_мг_кг,date1,bands_idx,49,mixup
ElasticNet,-0.0154,-0.0530,0.0448,2.5870,1.8759,0.9900,0.6500,97.0000,Cu_мг_кг,date1,pca,10,none
SVR,-0.1744,-0.1948,0.0687,2.7822,1.6979,0.9200,0.6000,97.0000,Cu_мг_кг,date1,pca,10,none
RF,-0.2202,-0.3549,0.3292,2.8360,2.0793,0.9100,0.5900,97.0000,Cu_мг_кг,date1,pca,10,none
PLSR,-0.3316,-0.3548,0.3537,2.9625,2.0473,0.8700,0.5700,97.0000,Cu_мг_кг,date1,pca,10,none
GBR,-0.3818,-0.5794,0.5010,3.0179,2.2300,0.8500,0.5600,97.0000,Cu_мг_кг,date1,pca,10,none
XGBoost,-0.4101,-0.6302,0.5446,3.0486,2.1835,0.8400,0.5500,97.0000,Cu_мг_кг,date1,pca,10,none
ElasticNet,-0.0179,-0.0563,0.0486,2.5902,1.8789,0.9900,0.6500,97.0000,Cu_мг_кг,date1,poly,20,none
SVR,-0.0927,-0.1065,0.1051,2.6837,1.6123,0.9600,0.6300,97.0000,Cu_мг_кг,date1,poly,20,none
RF,-0.1893,-0.3668,0.5649,2.7998,1.9388,0.9200,0.6000,97.0000,Cu_мг_кг,date1,poly,20,none
PLSR,-0.2325,-0.3456,0.2604,2.8501,2.1557,0.9000,0.5900,97.0000,Cu_мг_кг,date1,poly,20,none
GBR,-0.5914,-0.8562,0.9184,3.2386,2.2022,0.7900,0.5200,97.0000,Cu_мг_кг,date1,poly,20,none
XGBoost,-0.6200,-0.9336,0.9382,3.2677,2.2193,0.7900,0.5100,97.0000,Cu_мг_кг,date1,poly,20,none
ElasticNet,-0.0161,-0.0538,0.0403,2.5879,1.8719,0.9900,0.6500,97.0000,Cu_мг_кг,date1,combined,74,none
SVR,-0.1334,-0.1505,0.0789,2.7332,1.6710,0.9400,0.6100,97.0000,Cu_мг_кг,date1,combined,74,none
RF,-0.1344,-0.2754,0.3529,2.7344,1.9872,0.9400,0.6100,97.0000,Cu_мг_кг,date1,combined,74,none
XGBoost,-0.3741,-0.6882,1.0406,3.0094,2.1343,0.8500,0.5600,97.0000,Cu_мг_кг,date1,combined,74,none
GBR,-0.3851,-0.6631,0.8927,3.0214,2.1620,0.8500,0.5600,97.0000,Cu_мг_кг,date1,combined,74,none
PLSR,-1.7927,-1.5765,2.3067,4.2903,2.5164,0.6000,0.3900,97.0000,Cu_мг_кг,date1,combined,74,none
GBR,0.3741,0.3609,0.1006,1.9481,1.2113,1.2600,0.9000,194.0000,Cu_мг_кг,date1,combined,74,mixup
RF,0.3607,0.3560,0.1391,1.9690,1.3183,1.2500,0.8900,194.0000,Cu_мг_кг,date1,combined,74,mixup
XGBoost,0.2943,0.2839,0.1829,2.0686,1.2344,1.1900,0.8500,194.0000,Cu_мг_кг,date1,combined,74,mixup
ElasticNet,0.0175,0.0065,0.0224,2.4409,1.7400,1.0100,0.7200,194.0000,Cu_мг_кг,date1,combined,74,mixup
SVR,-0.0031,0.0020,0.1135,2.4663,1.4311,1.0000,0.7100,194.0000,Cu_мг_кг,date1,combined,74,mixup
GBR,0.6146,0.6092,0.1179,1.5330,0.8389,1.6100,0.9900,194.0000,Cu_мг_кг,date1,combined,74,noise
RF,0.5939,0.5873,0.1134,1.5736,0.9966,1.5700,0.9700,194.0000,Cu_мг_кг,date1,combined,74,noise
XGBoost,0.5350,0.5291,0.0645,1.6837,0.8278,1.4700,0.9000,194.0000,Cu_мг_кг,date1,combined,74,noise
ElasticNet,0.0017,-0.0065,0.0159,2.4672,1.7621,1.0000,0.6200,194.0000,Cu_мг_кг,date1,combined,74,noise
SVR,-0.0412,-0.0491,0.0649,2.5197,1.4541,0.9800,0.6000,194.0000,Cu_мг_кг,date1,combined,74,noise
ElasticNet,-0.0151,-0.0526,0.0388,2.5866,1.8703,0.9900,0.6500,97.0000,Cu_мг_кг,date1,rf_selected,20,none
SVR,-0.1323,-0.1492,0.0765,2.7318,1.6686,0.9400,0.6100,97.0000,Cu_мг_кг,date1,rf_selected,20,none
RF,-0.1487,-0.3066,0.4681,2.7515,1.9645,0.9300,0.6100,97.0000,Cu_мг_кг,date1,rf_selected,20,none
GBR,-0.2514,-0.4953,0.6953,2.8720,1.9762,0.8900,0.5800,97.0000,Cu_мг_кг,date1,rf_selected,20,none
XGBoost,-0.6246,-1.0274,1.2165,3.2723,2.2795,0.7800,0.5100,97.0000,Cu_мг_кг,date1,rf_selected,20,none
PLSR,-0.9716,-0.9680,1.0284,3.6048,2.3707,0.7100,0.4700,97.0000,Cu_мг_кг,date1,rf_selected,20,none
RF,0.3784,0.3711,0.0994,1.9415,1.3162,1.2700,0.9000,194.0000,Cu_мг_кг,date1,rf_selected,20,mixup
GBR,0.3554,0.3548,0.1375,1.9771,1.3172,1.2500,0.8800,194.0000,Cu_мг_кг,date1,rf_selected,20,mixup
XGBoost,0.3081,0.3032,0.2182,2.0483,1.2976,1.2000,0.8500,194.0000,Cu_мг_кг,date1,rf_selected,20,mixup
ElasticNet,0.0170,0.0064,0.0194,2.4414,1.7400,1.0100,0.7200,194.0000,Cu_мг_кг,date1,rf_selected,20,mixup
SVR,-0.0251,-0.0200,0.1272,2.4932,1.4580,0.9900,0.7000,194.0000,Cu_мг_кг,date1,rf_selected,20,mixup
Stacking,-0.0996,,,2.6921,,0.9500,,,Cu_мг_кг,date1,combined,74,none
ElasticNet,-0.0198,-0.0861,0.1120,18.9121,12.5354,0.9900,0.4100,100.0000,Zn_мг_кг,date1,bands,5,none
RF,-0.0222,-0.2093,0.5548,18.9347,12.4555,0.9900,0.4100,100.0000,Zn_мг_кг,date1,bands,5,none
PLSR,-0.0677,-0.1539,0.1973,19.3518,12.5716,0.9700,0.4000,100.0000,Zn_мг_кг,date1,bands,5,none
SVR,-0.1211,-0.1308,0.1082,19.8298,10.5336,0.9400,0.3900,100.0000,Zn_мг_кг,date1,bands,5,none
GBR,-0.1645,-0.3761,0.7152,20.2099,13.1945,0.9300,0.3900,100.0000,Zn_мг_кг,date1,bands,5,none
XGBoost,-0.3310,-0.7042,1.0053,21.6063,14.2291,0.8700,0.3600,100.0000,Zn_мг_кг,date1,bands,5,none
ElasticNet,-0.0373,-0.1209,0.1720,19.0739,12.5353,0.9800,0.4100,100.0000,Zn_мг_кг,date1,indices,44,none
SVR,-0.1130,-0.1208,0.1112,19.7581,10.6098,0.9500,0.4000,100.0000,Zn_мг_кг,date1,indices,44,none
XGBoost,-0.1144,-0.1483,0.2771,19.7703,13.2201,0.9500,0.4000,100.0000,Zn_мг_кг,date1,indices,44,none
PLSR,-0.1259,-0.1825,0.1918,19.8719,14.1640,0.9400,0.3900,100.0000,Zn_мг_кг,date1,indices,44,none
RF,-0.1284,-0.2656,0.2743,19.8940,13.7767,0.9400,0.3900,100.0000,Zn_мг_кг,date1,indices,44,none
GBR,-0.1485,-0.2910,0.2632,20.0701,13.3488,0.9300,0.3900,100.0000,Zn_мг_кг,date1,indices,44,none
RF,0.1122,0.1027,0.1844,17.3896,10.9188,1.0600,0.4500,200.0000,Zn_мг_кг,date1,indices,44,mixup
ElasticNet,0.0195,0.0131,0.0080,18.2749,12.5701,1.0100,0.4200,200.0000,Zn_мг_кг,date1,indices,44,mixup
GBR,-0.0267,-0.0531,0.3144,18.7014,10.9183,0.9900,0.4100,200.0000,Zn_мг_кг,date1,indices,44,mixup
SVR,-0.1018,-0.1048,0.0427,19.3727,10.4566,0.9500,0.4000,200.0000,Zn_мг_кг,date1,indices,44,mixup
XGBoost,-0.1323,-0.1719,0.4453,19.6388,10.8805,0.9400,0.3900,200.0000,Zn_мг_кг,date1,indices,44,mixup
ElasticNet,-0.0403,-0.1245,0.1699,19.1018,12.5686,0.9800,0.4100,100.0000,Zn_мг_кг,date1,bands_idx,49,none
PLSR,-0.0976,-0.1695,0.1802,19.6209,13.7391,0.9500,0.4000,100.0000,Zn_мг_кг,date1,bands_idx,49,none
RF,-0.1113,-0.2373,0.2435,19.7424,13.4724,0.9500,0.4000,100.0000,Zn_мг_кг,date1,bands_idx,49,none
XGBoost,-0.1151,-0.1456,0.3986,19.7761,12.3716,0.9500,0.4000,100.0000,Zn_мг_кг,date1,bands_idx,49,none
SVR,-0.1161,-0.1241,0.1106,19.7849,10.6051,0.9500,0.4000,100.0000,Zn_мг_кг,date1,bands_idx,49,none
GBR,-0.1249,-0.2457,0.2081,19.8630,13.5711,0.9400,0.3900,100.0000,Zn_мг_кг,date1,bands_idx,49,none
RF,0.1553,0.1480,0.1783,16.9624,10.6494,1.0900,0.4600,200.0000,Zn_мг_кг,date1,bands_idx,49,mixup
GBR,0.0265,0.0253,0.2358,18.2104,10.3798,1.0100,0.4300,200.0000,Zn_мг_кг,date1,bands_idx,49,mixup
ElasticNet,0.0181,0.0113,0.0076,18.2882,12.5737,1.0100,0.4200,200.0000,Zn_мг_кг,date1,bands_idx,49,mixup
XGBoost,-0.0856,-0.1053,0.2831,19.2298,10.6829,0.9600,0.4000,200.0000,Zn_мг_кг,date1,bands_idx,49,mixup
SVR,-0.1017,-0.1053,0.0463,19.3719,10.3895,0.9500,0.4000,200.0000,Zn_мг_кг,date1,bands_idx,49,mixup
ElasticNet,-0.0337,-0.0896,0.0851,19.0409,12.7459,0.9800,0.4100,100.0000,Zn_мг_кг,date1,pca,10,none
RF,-0.0721,-0.2374,0.4542,19.3914,13.1997,0.9700,0.4000,100.0000,Zn_мг_кг,date1,pca,10,none
SVR,-0.1161,-0.1238,0.1114,19.7857,10.5535,0.9500,0.4000,100.0000,Zn_мг_кг,date1,pca,10,none
GBR,-0.2419,-0.4591,0.6587,20.8703,14.2103,0.9000,0.3700,100.0000,Zn_мг_кг,date1,pca,10,none
XGBoost,-0.3718,-0.6808,0.7495,21.9351,14.4275,0.8500,0.3600,100.0000,Zn_мг_кг,date1,pca,10,none
PLSR,-0.3921,-0.4376,0.3680,22.0966,14.5795,0.8500,0.3500,100.0000,Zn_мг_кг,date1,pca,10,none
ElasticNet,-0.0234,-0.0946,0.1268,18.9458,12.5947,0.9900,0.4100,100.0000,Zn_мг_кг,date1,poly,20,none
RF,-0.0658,-0.2535,0.5646,19.3342,12.9268,0.9700,0.4000,100.0000,Zn_мг_кг,date1,poly,20,none
SVR,-0.1210,-0.1307,0.1074,19.8286,10.5236,0.9400,0.3900,100.0000,Zn_мг_кг,date1,poly,20,none
PLSR,-0.1820,-0.3051,0.2855,20.3608,13.8602,0.9200,0.3800,100.0000,Zn_мг_кг,date1,poly,20,none
XGBoost,-0.3453,-0.8124,1.5211,21.7224,13.8355,0.8600,0.3600,100.0000,Zn_мг_кг,date1,poly,20,none
GBR,-0.3588,-0.5391,0.5471,21.8308,14.4038,0.8600,0.3600,100.0000,Zn_мг_кг,date1,poly,20,none
ElasticNet,-0.0285,-0.1036,0.1497,18.9931,12.7112,0.9900,0.4100,100.0000,Zn_мг_кг,date1,combined,74,none
RF,-0.0374,-0.2330,0.5304,19.0746,12.8832,0.9800,0.4100,100.0000,Zn_мг_кг,date1,combined,74,none
SVR,-0.1200,-0.1286,0.1091,19.8197,10.5911,0.9400,0.3900,100.0000,Zn_мг_кг,date1,combined,74,none
GBR,-0.1911,-0.4806,0.8264,20.4396,13.9895,0.9200,0.3800,100.0000,Zn_мг_кг,date1,combined,74,none
XGBoost,-0.3242,-0.7223,1.0043,21.5512,13.5335,0.8700,0.3600,100.0000,Zn_мг_кг,date1,combined,74,none
PLSR,-1.6047,-1.4733,2.2825,30.2255,16.5560,0.6200,0.2600,100.0000,Zn_мг_кг,date1,combined,74,none
RF,0.2396,0.1915,0.2493,16.0941,9.4144,1.1500,0.4800,200.0000,Zn_мг_кг,date1,combined,74,mixup
GBR,0.2321,0.1792,0.3354,16.1732,9.1677,1.1400,0.4800,200.0000,Zn_мг_кг,date1,combined,74,mixup
XGBoost,0.1863,0.1369,0.2888,16.6483,9.0303,1.1100,0.4700,200.0000,Zn_мг_кг,date1,combined,74,mixup
ElasticNet,0.0476,0.0400,0.0328,18.0120,12.5767,1.0200,0.4300,200.0000,Zn_мг_кг,date1,combined,74,mixup
SVR,-0.0992,-0.1045,0.0440,19.3496,10.2700,0.9500,0.4000,200.0000,Zn_мг_кг,date1,combined,74,mixup
RF,0.5375,0.5286,0.1293,12.1317,6.7797,1.4700,0.5900,200.0000,Zn_мг_кг,date1,combined,74,noise
GBR,0.5289,0.5275,0.1771,12.2431,6.1793,1.4600,0.5800,200.0000,Zn_мг_кг,date1,combined,74,noise
XGBoost,0.4101,0.3712,0.1626,13.7012,6.3922,1.3000,0.5200,200.0000,Zn_мг_кг,date1,combined,74,noise
ElasticNet,0.0063,-0.0281,0.0400,17.7820,11.8089,1.0000,0.4000,200.0000,Zn_мг_кг,date1,combined,74,noise
SVR,-0.0587,-0.0602,0.0674,18.3544,9.2009,0.9700,0.3900,200.0000,Zn_мг_кг,date1,combined,74,noise
ElasticNet,-0.0374,-0.1213,0.1694,19.0749,12.5667,0.9800,0.4100,100.0000,Zn_мг_кг,date1,rf_selected,20,none
XGBoost,-0.0406,-0.0610,0.3311,19.1048,11.6436,0.9800,0.4100,100.0000,Zn_мг_кг,date1,rf_selected,20,none
GBR,-0.0621,-0.1735,0.2776,19.3009,12.6276,0.9700,0.4100,100.0000,Zn_мг_кг,date1,rf_selected,20,none
RF,-0.0912,-0.2418,0.3193,19.5631,13.4377,0.9600,0.4000,100.0000,Zn_мг_кг,date1,rf_selected,20,none
SVR,-0.1195,-0.1280,0.1100,19.8153,10.6209,0.9500,0.3900,100.0000,Zn_мг_кг,date1,rf_selected,20,none
PLSR,-0.4278,-0.4625,0.3970,22.3785,14.9956,0.8400,0.3500,100.0000,Zn_мг_кг,date1,rf_selected,20,none
RF,0.1407,0.1344,0.1955,17.1081,10.5524,1.0800,0.4500,200.0000,Zn_мг_кг,date1,rf_selected,20,mixup
GBR,0.0612,0.0571,0.1667,17.8824,10.4734,1.0300,0.4300,200.0000,Zn_мг_кг,date1,rf_selected,20,mixup
ElasticNet,0.0204,0.0137,0.0092,18.2665,12.5525,1.0100,0.4200,200.0000,Zn_мг_кг,date1,rf_selected,20,mixup
XGBoost,-0.0737,-0.1029,0.3384,19.1240,10.4338,0.9700,0.4100,200.0000,Zn_мг_кг,date1,rf_selected,20,mixup
SVR,-0.0951,-0.1003,0.0458,19.3141,10.3025,0.9600,0.4000,200.0000,Zn_мг_кг,date1,rf_selected,20,mixup
Stacking,-0.0389,,,19.0887,,0.9800,,,Zn_мг_кг,date1,combined,74,none
PLSR,0.0044,-0.0433,0.2466,0.5803,0.4608,1.0000,1.5300,61.0000,Co_мг_кг,date1,bands,5,none
ElasticNet,-0.0115,-0.0413,0.0442,0.5849,0.4737,0.9900,1.5200,61.0000,Co_мг_кг,date1,bands,5,none
SVR,-0.0567,-0.1141,0.2314,0.5978,0.4608,0.9700,1.4900,61.0000,Co_мг_кг,date1,bands,5,none
RF,-0.1556,-0.2226,0.3251,0.6251,0.5205,0.9300,1.4200,61.0000,Co_мг_кг,date1,bands,5,none
GBR,-0.3185,-0.3699,0.3338,0.6678,0.5699,0.8700,1.3300,61.0000,Co_мг_кг,date1,bands,5,none
XGBoost,-0.6174,-0.7385,0.6810,0.7396,0.6329,0.7900,1.2000,61.0000,Co_мг_кг,date1,bands,5,none
RF,0.0586,-0.0334,0.3549,0.5643,0.4654,1.0300,1.5700,61.0000,Co_мг_кг,date1,indices,44,none
ElasticNet,-0.0115,-0.0413,0.0442,0.5849,0.4737,0.9900,1.5200,61.0000,Co_мг_кг,date1,indices,44,none
GBR,-0.0505,-0.1412,0.3661,0.5961,0.4932,0.9800,1.4900,61.0000,Co_мг_кг,date1,indices,44,none
SVR,-0.1735,-0.2065,0.1772,0.6300,0.4927,0.9200,1.4100,61.0000,Co_мг_кг,date1,indices,44,none
XGBoost,-0.2416,-0.3793,0.5584,0.6480,0.5428,0.9000,1.3700,61.0000,Co_мг_кг,date1,indices,44,none
PLSR,-9.5221,-14.1990,24.5353,1.8864,0.7951,0.3100,0.4700,61.0000,Co_мг_кг,date1,indices,44,none
RF,0.2853,0.2768,0.2547,0.4506,0.3403,1.1800,1.7400,122.0000,Co_мг_кг,date1,indices,44,mixup
GBR,0.2614,0.2472,0.2087,0.4580,0.3152,1.1600,1.7200,122.0000,Co_мг_кг,date1,indices,44,mixup
XGBoost,0.2013,0.1544,0.2873,0.4763,0.3358,1.1200,1.6500,122.0000,Co_мг_кг,date1,indices,44,mixup
ElasticNet,-0.0128,-0.0341,0.0242,0.5363,0.4364,0.9900,1.4600,122.0000,Co_мг_кг,date1,indices,44,mixup
SVR,-0.1453,-0.2100,0.2373,0.5703,0.4448,0.9300,1.3800,122.0000,Co_мг_кг,date1,indices,44,mixup
RF,0.0893,0.0001,0.3496,0.5550,0.4585,1.0500,1.6000,61.0000,Co_мг_кг,date1,bands_idx,49,none
GBR,0.0398,-0.0850,0.5063,0.5699,0.4722,1.0200,1.5600,61.0000,Co_мг_кг,date1,bands_idx,49,none
ElasticNet,-0.0115,-0.0413,0.0442,0.5849,0.4737,0.9900,1.5200,61.0000,Co_мг_кг,date1,bands_idx,49,none
XGBoost,-0.1297,-0.2571,0.5245,0.6181,0.5215,0.9400,1.4400,61.0000,Co_мг_кг,date1,bands_idx,49,none
SVR,-0.1488,-0.1935,0.1694,0.6233,0.4873,0.9300,1.4200,61.0000,Co_мг_кг,date1,bands_idx,49,none
PLSR,-7.6206,-11.5575,20.4098,1.7075,0.7670,0.3400,0.5200,61.0000,Co_мг_кг,date1,bands_idx,49,none
RF,0.2960,0.2903,0.2159,0.4472,0.3385,1.1900,1.7600,122.0000,Co_мг_кг,date1,bands_idx,49,mixup
XGBoost,0.2893,0.2564,0.1911,0.4493,0.3200,1.1900,1.7500,122.0000,Co_мг_кг,date1,bands_idx,49,mixup
GBR,0.2572,0.2493,0.2829,0.4593,0.3090,1.1600,1.7100,122.0000,Co_мг_кг,date1,bands_idx,49,mixup
ElasticNet,-0.0128,-0.0341,0.0242,0.5363,0.4364,0.9900,1.4600,122.0000,Co_мг_кг,date1,bands_idx,49,mixup
SVR,-0.0608,-0.1220,0.2243,0.5489,0.4224,0.9700,1.4300,122.0000,Co_мг_кг,date1,bands_idx,49,mixup
ElasticNet,-0.0115,-0.0413,0.0442,0.5849,0.4737,0.9900,1.5200,61.0000,Co_мг_кг,date1,pca,10,none
GBR,-0.0728,-0.1247,0.3231,0.6023,0.4561,0.9700,1.4700,61.0000,Co_мг_кг,date1,pca,10,none
RF,-0.1273,-0.1897,0.2731,0.6174,0.4946,0.9400,1.4400,61.0000,Co_мг_кг,date1,pca,10,none
XGBoost,-0.1868,-0.2759,0.3448,0.6335,0.5077,0.9200,1.4000,61.0000,Co_мг_кг,date1,pca,10,none
SVR,-0.2459,-0.3230,0.2672,0.6491,0.5195,0.9000,1.3700,61.0000,Co_мг_кг,date1,pca,10,none
PLSR,-21.5288,-30.4561,48.5955,2.7603,0.9548,0.2100,0.3200,61.0000,Co_мг_кг,date1,pca,10,none
ElasticNet,-0.0115,-0.0413,0.0442,0.5849,0.4737,0.9900,1.5200,61.0000,Co_мг_кг,date1,poly,20,none
SVR,-0.0837,-0.1440,0.2420,0.6054,0.4661,0.9600,1.4700,61.0000,Co_мг_кг,date1,poly,20,none
