wl,idx,r,p,rho,n,element,prep
649.270000,125.000000,0.338924,0.008074,0.325784,60.000000,N_%,raw
651.390000,126.000000,0.340662,0.007735,0.328841,60.000000,N_%,raw
653.520000,127.000000,0.343406,0.007225,0.334454,60.000000,N_%,raw
655.640000,128.000000,0.345686,0.006824,0.333120,60.000000,N_%,raw
657.770000,129.000000,0.347452,0.006527,0.331564,60.000000,N_%,raw
659.900000,130.000000,0.348626,0.006336,0.333454,60.000000,N_%,raw
662.030000,131.000000,0.348980,0.006280,0.347237,60.000000,N_%,raw
664.160000,132.000000,0.349091,0.006262,0.349598,60.000000,N_%,raw
666.290000,133.000000,0.349646,0.006174,0.348709,60.000000,N_%,raw
668.420000,134.000000,0.350565,0.006031,0.346042,60.000000,N_%,raw
670.550000,135.000000,0.351655,0.005865,0.345986,60.000000,N_%,raw
672.690000,136.000000,0.352866,0.005686,0.346486,60.000000,N_%,raw
674.820000,137.000000,0.354205,0.005493,0.351405,60.000000,N_%,raw
676.950000,138.000000,0.355095,0.005368,0.358491,60.000000,N_%,raw
679.090000,139.000000,0.355358,0.005332,0.355823,60.000000,N_%,raw
681.230000,140.000000,0.354925,0.005392,0.362964,60.000000,N_%,raw
683.360000,141.000000,0.353235,0.005632,0.356740,60.000000,N_%,raw
685.500000,142.000000,0.351896,0.005829,0.346792,60.000000,N_%,raw
687.640000,143.000000,0.351253,0.005926,0.344902,60.000000,N_%,raw
689.780000,144.000000,0.351516,0.005886,0.337261,60.000000,N_%,raw
691.920000,145.000000,0.352801,0.005696,0.324673,60.000000,N_%,raw
694.060000,146.000000,0.355019,0.005379,0.317642,60.000000,N_%,raw
696.200000,147.000000,0.357217,0.005081,0.304221,60.000000,N_%,raw
698.350000,148.000000,0.358893,0.004863,0.305694,60.000000,N_%,raw
700.490000,149.000000,0.358113,0.004963,0.292383,60.000000,N_%,raw
702.630000,150.000000,0.354621,0.005435,0.280073,60.000000,N_%,raw
704.780000,151.000000,0.348245,0.006398,0.277711,60.000000,N_%,raw
706.920000,152.000000,0.339637,0.007933,0.264345,60.000000,N_%,raw
709.070000,153.000000,0.328791,0.010318,0.252730,60.000000,N_%,raw
711.220000,154.000000,0.316805,0.013654,0.233279,60.000000,N_%,raw
713.370000,155.000000,0.304608,0.017963,0.226943,60.000000,N_%,raw
715.520000,156.000000,0.293166,0.023009,0.227277,60.000000,N_%,raw
717.670000,157.000000,0.282633,0.028667,0.221469,60.000000,N_%,raw
719.820000,158.000000,0.273775,0.034288,0.204101,60.000000,N_%,raw
721.970000,159.000000,0.265233,0.040550,0.200433,60.000000,N_%,raw
724.120000,160.000000,0.258060,0.046510,0.187568,60.000000,N_%,raw
726.280000,161.000000,0.251745,0.052336,0.179565,60.000000,N_%,raw
728.430000,162.000000,0.245554,0.058610,0.172312,60.000000,N_%,raw
730.580000,163.000000,0.239700,0.065089,0.163476,60.000000,N_%,raw
732.740000,164.000000,0.233507,0.072558,0.161392,60.000000,N_%,raw
734.900000,165.000000,0.226760,0.081455,0.162642,60.000000,N_%,raw
737.050000,166.000000,0.221207,0.089408,0.164559,60.000000,N_%,raw
739.210000,167.000000,0.216243,0.097020,0.147664,60.000000,N_%,raw
741.370000,168.000000,0.211202,0.105259,0.138661,60.000000,N_%,raw
743.530000,169.000000,0.204423,0.117175,0.137966,60.000000,N_%,raw
745.690000,170.000000,0.196740,0.131901,0.122989,60.000000,N_%,raw
747.850000,171.000000,0.188405,0.149408,0.117181,60.000000,N_%,raw
750.020000,172.000000,0.180841,0.166741,0.108845,60.000000,N_%,raw
752.180000,173.000000,0.174630,0.182039,0.105649,60.000000,N_%,raw
754.340000,174.000000,0.169642,0.195040,0.105538,60.000000,N_%,raw
756.510000,175.000000,0.167369,0.201178,0.107428,60.000000,N_%,raw
758.670000,176.000000,0.170700,0.192227,0.110957,60.000000,N_%,raw
760.840000,177.000000,0.179062,0.171024,0.119432,60.000000,N_%,raw
763.010000,178.000000,0.191070,0.143633,0.123489,60.000000,N_%,raw
765.180000,179.000000,0.200742,0.124065,0.126935,60.000000,N_%,raw
