model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,n_features
XGBoost,-0.4660,-0.6241,0.5572,28.1569,18.6368,0.8300,0.7400,100,Mn_мг_кг,date1,49
SVR,0.0977,-0.0367,0.2728,0.5184,0.4026,1.0500,1.2700,97,N_%,date2,49
RF,-0.0116,-0.1443,0.6479,0.4262,0.3095,0.9900,1.2600,100,N_%,date1,49
ElasticNet,-0.0250,-0.0832,0.1101,0.5525,0.4201,0.9900,1.1900,97,N_%,date2,49
RF,-0.0265,-0.1862,0.3902,0.5529,0.4267,0.9900,1.1900,97,N_%,date2,49
ElasticNet,-0.0330,-0.1352,0.1919,0.4307,0.3255,0.9800,1.2400,100,N_%,date1,49
PLSR,-0.0382,-0.2010,0.4597,0.4317,0.3297,0.9800,1.2400,100,N_%,date1,49
SVR,-0.0640,-0.2316,0.6425,0.4371,0.3206,0.9700,1.2200,100,N_%,date1,49
XGBoost,-0.0765,-0.1775,0.4530,0.4396,0.3270,0.9600,1.2200,100,N_%,date1,49
GBR,-0.0922,-0.2805,0.8163,0.4428,0.3306,0.9600,1.2100,100,N_%,date1,49
GBR,-0.1348,-0.3341,0.5300,0.5813,0.4521,0.9400,1.1400,97,N_%,date2,49
XGBoost,-0.3100,-0.5653,0.6917,0.6246,0.4983,0.8700,1.0600,97,N_%,date2,49
PLSR,-3.5036,-3.3833,5.5429,1.1581,0.5945,0.4700,0.5700,97,N_%,date2,49
GBR,0.0912,-0.0003,0.2261,0.0604,0.0473,1.0500,1.3200,97,P_%,date2,49
RF,0.0823,-0.0074,0.2026,0.0607,0.0483,1.0400,1.3200,97,P_%,date2,49
SVR,0.0660,-0.0048,0.1403,0.0612,0.0470,1.0300,1.3100,97,P_%,date2,49
ElasticNet,-0.0155,-0.0660,0.0861,0.0751,0.0608,0.9900,1.5000,100,P_%,date1,49
ElasticNet,-0.0193,-0.0491,0.0675,0.0640,0.0497,0.9900,1.2500,97,P_%,date2,49
RF,-0.0806,-0.2277,0.4593,0.0775,0.0625,0.9600,1.4500,100,P_%,date1,49
GBR,-0.0854,-0.2830,0.6575,0.0777,0.0630,0.9600,1.4500,100,P_%,date1,49
XGBoost,-0.1449,-0.2987,0.4405,0.0678,0.0546,0.9300,1.1800,97,P_%,date2,49
SVR,-0.1589,-0.3558,0.6306,0.0802,0.0687,0.9300,1.4000,100,P_%,date1,49
XGBoost,-0.3339,-0.6389,1.0546,0.0861,0.0692,0.8700,1.3100,100,P_%,date1,49
PLSR,-0.8199,-1.0431,0.9570,0.1006,0.0726,0.7400,1.1200,100,P_%,date1,49
PLSR,-1.7714,-2.1047,2.8265,0.1055,0.0602,0.6000,0.7600,97,P_%,date2,49
RF,0.0355,-0.0774,0.2836,0.0420,0.0332,1.0200,1.6700,97,S_%,date2,49
GBR,0.0134,-0.0249,0.4259,0.0515,0.0397,1.0100,1.3600,100,S_%,date1,49
XGBoost,-0.0048,-0.1191,0.1935,0.0429,0.0352,1.0000,1.6300,97,S_%,date2,49
RF,-0.0055,-0.0327,0.4251,0.0520,0.0402,1.0000,1.3500,100,S_%,date1,49
ElasticNet,-0.0078,-0.0236,0.0278,0.0521,0.0413,1.0000,1.3400,100,S_%,date1,49
PLSR,-0.0096,-0.0395,0.4499,0.0521,0.0394,1.0000,1.3400,100,S_%,date1,49
ElasticNet,-0.0275,-0.0863,0.0515,0.0433,0.0346,0.9900,1.6100,97,S_%,date2,49
GBR,-0.1079,-0.2516,0.2980,0.0450,0.0372,0.9500,1.5600,97,S_%,date2,49
XGBoost,-0.1937,-0.2680,0.5795,0.0567,0.0444,0.9200,1.2400,100,S_%,date1,49
SVR,-0.2604,-0.4207,0.3372,0.0480,0.0381,0.8900,1.4600,97,S_%,date2,49
SVR,-0.4194,-0.4714,0.5593,0.0618,0.0483,0.8400,1.1300,100,S_%,date1,49
PLSR,-1.9921,-1.3532,2.2619,0.0740,0.0417,0.5800,0.9500,97,S_%,date2,49
SVR,0.0809,0.0423,0.1471,5.1732,3.6868,1.0400,1.4100,97,Zn_мг_кг,date2,49
RF,-0.0172,-0.0369,0.3296,5.4422,3.7581,0.9900,1.3400,97,Zn_мг_кг,date2,49
ElasticNet,-0.0360,-0.0221,0.0901,5.4923,3.9071,0.9800,1.3300,97,Zn_мг_кг,date2,49
ElasticNet,-0.0403,-0.1245,0.1699,19.1018,12.5686,0.9800,0.4100,100,Zn_мг_кг,date1,49
PLSR,-0.0976,-0.1695,0.1802,19.6209,13.7391,0.9500,0.4000,100,Zn_мг_кг,date1,49
RF,-0.1113,-0.2373,0.2435,19.7424,13.4724,0.9500,0.4000,100,Zn_мг_кг,date1,49
XGBoost,-0.1151,-0.1456,0.3986,19.7761,12.3716,0.9500,0.4000,100,Zn_мг_кг,date1,49
SVR,-0.1161,-0.1241,0.1106,19.7849,10.6051,0.9500,0.4000,100,Zn_мг_кг,date1,49
XGBoost,-0.1215,-0.2236,0.4360,5.7144,4.1269,0.9400,1.2800,97,Zn_мг_кг,date2,49
GBR,-0.1249,-0.2457,0.2081,19.8630,13.5711,0.9400,0.3900,100,Zn_мг_кг,date1,49
GBR,-0.1441,-0.2777,0.6554,5.7718,3.9427,0.9300,1.2600,97,Zn_мг_кг,date2,49
PLSR,-0.6129,-0.4141,0.6019,6.8530,4.3833,0.7900,1.0700,97,Zn_мг_кг,date2,49
PLSR,0.0129,-0.2726,0.7932,2270.2894,1685.7164,1.0100,1.1100,100,Нитраты_мг_кг,date1,49
ElasticNet,-0.0117,-0.1666,0.3823,2298.3176,1733.5898,0.9900,1.1000,100,Нитраты_мг_кг,date1,49
ElasticNet,-0.0553,-0.4385,0.7771,3198.5849,2167.0265,0.9700,0.7700,96,Нитраты_мг_кг,date2,49
RF,-0.0988,-0.3584,0.6443,2395.2378,1712.4211,0.9500,1.0500,100,Нитраты_мг_кг,date1,49
SVR,-0.1233,-0.1813,0.1889,3299.9338,1897.6424,0.9400,0.7500,96,Нитраты_мг_кг,date2,49
SVR,-0.1258,-0.1660,0.1564,2424.4952,1625.1791,0.9400,1.0400,100,Нитраты_мг_кг,date1,49
RF,-0.1411,-0.8841,1.4376,3326.0453,2282.9987,0.9400,0.7400,96,Нитраты_мг_кг,date2,49
GBR,-0.1847,-0.6982,0.8208,3388.9133,2285.7739,0.9200,0.7300,96,Нитраты_мг_кг,date2,49
GBR,-0.2528,-0.5618,0.7267,2557.6410,1841.0751,0.8900,0.9900,100,Нитраты_мг_кг,date1,49
XGBoost,-0.3013,-1.1421,1.3189,3551.7928,2404.4215,0.8800,0.6900,96,Нитраты_мг_кг,date2,49
XGBoost,-0.3271,-0.6307,0.7897,2632.3621,1857.9783,0.8700,0.9600,100,Нитраты_мг_кг,date1,49
PLSR,-0.8073,-3.4526,4.3031,4185.7949,2650.1601,0.7400,0.5900,96,Нитраты_мг_кг,date2,49
