index,date1 | Ca,date1 | Co,date1 | Cu,date1 | Fe,date1 | K,date1 | Mg,date1 | Mn,date1 | N,date1 | NO₃,date1 | P,date1 | S,date1 | Zn,date2 | Ca,date2 | Co,date2 | Cu,date2 | Fe,date2 | K,date2 | Mg,date2 | Mn,date2 | N,date2 | NO₃,date2 | P,date2 | S,date2 | Zn
MSR,-0.4411,0.1667,0.0974,0.0167,0.0427,0.0157,0.0709,-0.2289,-0.0361,0.0026,-0.1064,0.0488,0.1093,-0.1229,-0.2795,-0.2340,-0.0262,-0.0191,-0.0499,-0.2333,-0.2257,0.0361,-0.1414,-0.2483
OSAVI,-0.4411,0.1667,0.0974,0.0167,0.0427,0.0157,0.0709,-0.2289,-0.0361,0.0026,-0.1064,0.0488,0.1093,-0.1229,-0.2795,-0.2340,-0.0262,-0.0191,-0.0499,-0.2333,-0.2257,0.0361,-0.1414,-0.2483
WDRVI,-0.4411,0.1667,0.0974,0.0167,0.0427,0.0157,0.0709,-0.2289,-0.0361,0.0026,-0.1064,0.0488,0.1093,-0.1229,-0.2795,-0.2340,-0.0262,-0.0191,-0.0499,-0.2333,-0.2257,0.0361,-0.1414,-0.2483
SR,-0.4411,0.1667,0.0974,0.0167,0.0427,0.0157,0.0709,-0.2289,-0.0361,0.0026,-0.1064,0.0488,0.1093,-0.1229,-0.2795,-0.2340,-0.0262,-0.0191,-0.0499,-0.2333,-0.2257,0.0361,-0.1414,-0.2483
SAVI,-0.4411,0.1667,0.0974,0.0167,0.0427,0.0157,0.0709,-0.2289,-0.0361,0.0026,-0.1064,0.0488,0.1093,-0.1229,-0.2795,-0.2340,-0.0262,-0.0191,-0.0499,-0.2333,-0.2257,0.0361,-0.1414,-0.2483
EVI2,-0.4411,0.1667,0.0974,0.0167,0.0427,0.0157,0.0709,-0.2289,-0.0361,0.0026,-0.1064,0.0488,0.1093,-0.1229,-0.2795,-0.2340,-0.0262,-0.0191,-0.0499,-0.2333,-0.2257,0.0361,-0.1414,-0.2483
MSAVI2,-0.4411,0.1667,0.0974,0.0167,0.0427,0.0157,0.0709,-0.2289,-0.0361,0.0026,-0.1064,0.0488,0.1093,-0.1229,-0.2795,-0.2340,-0.0262,-0.0191,-0.0499,-0.2333,-0.2257,0.0361,-0.1414,-0.2483
TCARI,-0.4408,0.1240,0.1207,0.0102,0.1431,-0.0935,-0.1182,-0.2038,0.0255,0.1317,-0.0751,0.0504,0.0508,-0.1912,-0.1476,-0.0275,0.2231,-0.1991,-0.2387,0.0187,-0.0249,0.2782,0.0015,0.0388
RDVI,-0.4402,0.1474,0.1013,0.0200,0.0615,-0.0154,0.0420,-0.2390,-0.0352,0.0282,-0.1062,0.0591,0.0896,-0.1501,-0.2469,-0.1767,0.0446,-0.0583,-0.0691,-0.1456,-0.1616,0.1305,-0.0924,-0.1478
ARVI,-0.4378,0.1617,0.0964,0.0200,0.0549,0.0306,0.0568,-0.2165,-0.0193,0.0114,-0.0856,0.0516,0.1188,-0.1393,-0.2737,-0.2275,-0.0175,-0.0054,-0.0623,-0.2207,-0.2198,0.0383,-0.1348,-0.2360
VARI,-0.4368,0.1487,0.1000,0.0212,0.0862,0.0391,-0.0149,-0.1943,0.0072,0.0720,-0.0635,0.0529,0.1187,-0.1274,-0.2477,-0.2214,0.0286,-0.0243,-0.1019,-0.1945,-0.1945,0.0868,-0.1109,-0.2187
