model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,track,n_features
SVR,-0.1051,-0.3366,0.3350,0.0751,0.0643,0.9500,1.1600,60,P_%,date1,A_multi,49
SVR,-0.1138,-0.3172,0.2744,0.0754,0.0625,0.9500,1.1600,60,P_%,date1,C_fusion,83
SVR,-0.1296,-0.3400,0.2994,0.0760,0.0609,0.9400,1.1500,60,P_%,date1,B_hyper,34
RF,-0.1662,-0.3390,0.1830,0.0772,0.0626,0.9300,1.1300,60,P_%,date1,A_multi,49
GBR,-0.2099,-0.3851,0.4106,0.0786,0.0629,0.9100,1.1100,60,P_%,date1,A_multi,49
RF,-0.2224,-0.4504,0.2798,0.0790,0.0647,0.9000,1.1100,60,P_%,date1,C_fusion,83
RF,-0.2232,-0.4544,0.3421,0.0790,0.0641,0.9000,1.1100,60,P_%,date1,B_hyper,34
GBR,-0.2621,-0.4691,0.1981,0.0803,0.0678,0.8900,1.0900,60,P_%,date1,C_fusion,83
GBR,-0.4105,-0.6608,0.3241,0.0849,0.0715,0.8400,1.0300,60,P_%,date1,B_hyper,34
XGBoost,-0.4538,-0.7713,0.5088,0.0862,0.0705,0.8300,1.0200,60,P_%,date1,B_hyper,34
XGBoost,-0.5082,-0.7035,0.2360,0.0878,0.0699,0.8100,1.0000,60,P_%,date1,A_multi,49
XGBoost,-0.5638,-0.8752,0.5801,0.0894,0.0751,0.8000,0.9800,60,P_%,date1,C_fusion,83
PLSR,-1.0787,-1.2826,1.0612,0.1030,0.0769,0.6900,0.8500,60,P_%,date1,A_multi,49
PLSR,-970.4608,-938.3905,1871.1270,2.2275,0.3811,0.0300,0.0400,60,P_%,date1,C_fusion,83
PLSR,-1672.7405,-1616.9853,3229.3193,2.9239,0.4639,0.0200,0.0300,60,P_%,date1,B_hyper,34
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60,S_%,date1,A_multi,49
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60,S_%,date1,B_hyper,34
ElasticNet,-0.0193,-0.0727,0.0690,0.0541,0.0431,0.9900,1.4800,60,S_%,date1,C_fusion,83
SVR,-0.0566,-0.1286,0.0905,0.0550,0.0441,0.9700,1.4500,60,S_%,date1,B_hyper,34
SVR,-0.0702,-0.1702,0.2318,0.0554,0.0445,0.9700,1.4400,60,S_%,date1,C_fusion,83
RF,-0.1018,-0.2147,0.3075,0.0562,0.0449,0.9500,1.4200,60,S_%,date1,C_fusion,83
RF,-0.1151,-0.2450,0.2093,0.0565,0.0452,0.9500,1.4200,60,S_%,date1,B_hyper,34
GBR,-0.1262,-0.3340,0.5878,0.0568,0.0459,0.9400,1.4100,60,S_%,date1,C_fusion,83
RF,-0.2033,-0.4753,0.7575,0.0587,0.0464,0.9100,1.3600,60,S_%,date1,A_multi,49
GBR,-0.2251,-0.4323,0.3506,0.0593,0.0498,0.9000,1.3500,60,S_%,date1,B_hyper,34
XGBoost,-0.2611,-0.4245,0.5552,0.0601,0.0477,0.8900,1.3300,60,S_%,date1,C_fusion,83
